site,city,state,latitude,longitude
3103,FLAGSTAFF             ,AZ,35.08,111.4
3812,ASHEVILLE             ,NC,35.26,82.32
3813,MACON                 ,GA,32.42,83.39
3820,AUGUSTA               ,GA,33.22,81.58
3822,SAVANNAH              ,GA,32.08,81.12
3856,HUNTSVILLE            ,AL,34.39,86.46
3860,HUNTINGTON            ,WV,38.22,82.33
3870,GREENVILLE            ,SC,34.54,82.13
3927,FORT WORTH            ,TX,32.5,97.03
3928,WICHITA               ,KS,37.39,97.25
3937,LAKE CHARLES          ,LA,30.07,93.13
3940,JACKSON               ,MS,32.19,90.05
3945,COLUMBIA              ,MO,38.49,92.13
3947,KANSAS CITY           ,MO,39.18,94.43
4725,BINGHAMTON            ,NY,42.13,75.59
4751,BRADFORD              ,PA,41.48,78.38
11641,SAN JUAN              ,PR,18.26,66
12834,DAYTONA BEACH         ,FL,29.11,81.03
12836,KEY WEST              ,FL,24.33,81.45
12839,MIAMI                 ,FL,25.48,80.16
12842,TAMPA                 ,FL,27.58,82.32
12844,WEST PALM BEACH       ,FL,26.41,80.06
12912,VICTORIA              ,TX,28.51,96.55
12916,NEW ORLEANS           ,LA,29.59,90.15
12917,PORT ARTHUR           ,TX,29.57,94.01
12919,BROWNSVILLE           ,TX,25.54,97.26
12921,SAN ANTONIO           ,TX,29.32,98.28
12924,CORPUS CHRISTI        ,TX,27.46,97.3
12960,HOUSTON               ,TX,29.59,95.22
13722,RALEIGH               ,NC,35.52,78.47
13723,GREENSBORO            ,NC,36.05,79.57
13729,ELKINS                ,WV,38.53,79.51
13733,LYNCHBURG             ,VA,37.2,79.12
13737,NORFOLK               ,VA,36.54,76.12
13739,PHILADELPHIA          ,PA,39.53,75.15
13740,RICHMOND              ,VA,37.3,77.2
13741,ROANOKE               ,VA,37.19,79.58
13748,WILMINGTON            ,NC,34.16,77.54
13781,WILMINGTON            ,DE,39.4,75.36
13865,MERIDIAN              ,MS,32.2,88.45
13866,CHARLESTON            ,WV,38.22,81.36
13873,ATHENS                ,GA,33.57,83.19
13874,ATLANTA               ,GA,33.39,84.26
13876,BIRMINGHAM            ,AL,33.34,86.45
13877,BRISTOL               ,TN,36.29,82.24
13880,CHARLESTON            ,SC,32.54,80.02
13881,CHARLOTTE             ,NC,35.13,80.56
13882,CHATTANOOGA           ,TN,35.02,85.12
13883,COLUMBIA              ,SC,33.57,81.07
13889,JACKSONVILLE          ,FL,30.3,81.42
13891,KNOXVILLE             ,TN,35.49,83.59
13893,MEMPHIS               ,TN,35.03,89.59
13894,MOBILE                ,AL,30.41,88.15
13895,MONTGOMERY            ,AL,32.18,86.24
13897,NASHVILLE             ,TN,36.07,86.41
13957,SHREVEPORT            ,LA,32.28,93.49
13958,AUSTIN                ,TX,30.18,97.42
13959,WACO                  ,TX,31.37,97.13
